stream_index	book	chapter	verse	predication_id	previous_predication_id	finite_verb	finite_lemma	finite_compact	subject_person	subject_number	subject_status	subject_source	continuity_status	continuity_source	previous_subject_person	previous_subject_number	previous_finite_verb	independence_status	subordination_status
84	1corintios	3	2	1corintios-3-2-P02	1corintios-3-2-P01	ἐδύνασθε	δύναμαι	V-IMI-2P	2	P	confirmed	finite_verb_morphology	shift	person_number_change	1	S	ἐπότισα	candidate	not_detected
85	1corintios	3	2	1corintios-3-2-P03	1corintios-3-2-P02	δύνασθε	δύναμαι	V-PMI-2P	2	P	confirmed	finite_verb_morphology	same	person_number_match	2	P	ἐδύνασθε	candidate	not_detected
86	1corintios	3	3	1corintios-3-3-P01	1corintios-3-2-P03	ἐστε	εἰμί	V-PAI-2P	2	P	confirmed	finite_verb_morphology	same	person_number_match	2	P	δύνασθε	candidate	not_detected
87	1corintios	3	3	1corintios-3-3-P02	1corintios-3-3-P01	ἐστε	εἰμί	V-PAI-2P	2	P	confirmed	finite_verb_morphology	same	person_number_match	2	P	ἐστε	candidate	not_detected
88	1corintios	3	3	1corintios-3-3-P03	1corintios-3-3-P02	περιπατεῖτε	περιπατέω	V-PAI-2P	2	P	confirmed	finite_verb_morphology	same	person_number_match	2	P	ἐστε	candidate	not_detected
89	1corintios	3	4	1corintios-3-4-P01	1corintios-3-3-P03	λέγῃ	λέγω	V-PAS-3S	3	S	confirmed	finite_verb_morphology	shift	person_number_change	2	P	περιπατεῖτε	unresolved	candidate
90	1corintios	3	4	1corintios-3-4-P02	1corintios-3-4-P01	εἰμι	εἰμί	V-PAI-1S	1	S	confirmed	finite_verb_morphology	shift	person_number_change	3	S	λέγῃ	candidate	not_detected
91	1corintios	3	4	1corintios-3-4-P03	1corintios-3-4-P02	ἐστε	εἰμί	V-PAI-2P	2	P	confirmed	finite_verb_morphology	shift	person_number_change	1	S	εἰμι	candidate	not_detected
92	1corintios	3	5	1corintios-3-5-P01	1corintios-3-4-P03	ἐστιν	εἰμί	V-PAI-3S	3	S	confirmed	finite_verb_morphology	shift	person_number_change	2	P	ἐστε	candidate	not_detected
93	1corintios	3	5	1corintios-3-5-P02	1corintios-3-5-P01	ἐστιν	εἰμί	V-PAI-3S	3	S	confirmed	finite_verb_morphology	same	person_number_match	3	S	ἐστιν	candidate	not_detected
94	1corintios	3	5	1corintios-3-5-P03	1corintios-3-5-P02	ἐπιστεύσατε	πιστεύω	V-AAI-2P	2	P	confirmed	finite_verb_morphology	shift	person_number_change	3	S	ἐστιν	candidate	not_detected
95	1corintios	3	5	1corintios-3-5-P04	1corintios-3-5-P03	ἔδωκεν	δίδωμι	V-AAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	2	P	ἐπιστεύσατε	unresolved	candidate
96	1corintios	3	6	1corintios-3-6-P01	1corintios-3-5-P04	ἐφύτευσα	φυτεύω	V-AAI-1S	1	S	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			ἔδωκεν	candidate	not_detected
97	1corintios	3	6	1corintios-3-6-P02	1corintios-3-6-P01	ἐπότισεν	ποτίζω	V-AAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	1	S	ἐφύτευσα	candidate	not_detected
98	1corintios	3	6	1corintios-3-6-P03	1corintios-3-6-P02	ηὔξανεν	αὐξάνω	V-IAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number			ἐπότισεν	candidate	not_detected
99	1corintios	3	7	1corintios-3-7-P01	1corintios-3-6-P03	ἐστίν	εἰμί	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number			ηὔξανεν	unresolved	candidate
100	1corintios	3	8	1corintios-3-8-P01	1corintios-3-7-P01	εἰσιν	εἰμί	V-PAI-3P	3	P	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			ἐστίν	candidate	not_detected
101	1corintios	3	8	1corintios-3-8-P02	1corintios-3-8-P01	λήμψεται	λαμβάνω	V-FMI-3S	3	S	confirmed	finite_verb_morphology	shift	person_number_change	3	P	εἰσιν	candidate	not_detected
102	1corintios	3	9	1corintios-3-9-P01	1corintios-3-8-P02	ἐσμεν	εἰμί	V-PAI-1P	1	P	confirmed	finite_verb_morphology	shift	person_number_change	3	S	λήμψεται	candidate	not_detected
103	1corintios	3	9	1corintios-3-9-P02	1corintios-3-9-P01	ἐστε	εἰμί	V-PAI-2P	2	P	confirmed	finite_verb_morphology	shift	person_number_change	1	P	ἐσμεν	candidate	not_detected
104	1corintios	3	10	1corintios-3-10-P01	1corintios-3-9-P02	ἔθηκα	τίθημι	V-AAI-1S	1	S	confirmed	finite_verb_morphology	shift	person_number_change	2	P	ἐστε	unresolved	candidate
105	1corintios	3	10	1corintios-3-10-P02	1corintios-3-10-P01	ἐποικοδομεῖ	ἐποικοδομέω	V-PAI-3S	3	S	confirmed	finite_verb_morphology	shift	person_number_change	1	S	ἔθηκα	candidate	not_detected
106	1corintios	3	10	1corintios-3-10-P03	1corintios-3-10-P02	βλεπέτω	βλέπω	V-PAD-3S	3	S	confirmed	finite_verb_morphology	same	person_number_match	3	S	ἐποικοδομεῖ	candidate	not_detected
107	1corintios	3	10	1corintios-3-10-P04	1corintios-3-10-P03	ἐποικοδομεῖ	ἐποικοδομέω	V-PAI-3S	3	S	confirmed	finite_verb_morphology	same	person_number_match	3	S	βλεπέτω	candidate	not_detected
108	1corintios	3	11	1corintios-3-11-P01	1corintios-3-10-P04	δύναται	δύναμαι	V-PMI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	3	S	ἐποικοδομεῖ	candidate	not_detected
109	1corintios	3	11	1corintios-3-11-P02	1corintios-3-11-P01	ἐστιν	εἰμί	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number			δύναται	candidate	not_detected
110	1corintios	3	12	1corintios-3-12-P01	1corintios-3-11-P02	ἐποικοδομεῖ	ἐποικοδομέω	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number			ἐστιν	unresolved	candidate
111	1corintios	3	13	1corintios-3-13-P01	1corintios-3-12-P01	γενήσεται	γίνομαι	V-FMI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number			ἐποικοδομεῖ	candidate	not_detected
112	1corintios	3	13	1corintios-3-13-P02	1corintios-3-13-P01	δηλώσει	δηλόω	V-FAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number			γενήσεται	candidate	not_detected
113	1corintios	3	13	1corintios-3-13-P03	1corintios-3-13-P02	ἀποκαλύπτεται	ἀποκαλύπτω	V-PPI-3S	3	S	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			δηλώσει	unresolved	candidate
114	1corintios	3	13	1corintios-3-13-P04	1corintios-3-13-P03	ἐστιν	εἰμί	V-PAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	3	S	ἀποκαλύπτεται	candidate	not_detected
115	1corintios	3	13	1corintios-3-13-P05	1corintios-3-13-P04	δοκιμάσει	δοκιμάζω	V-FAI-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number			ἐστιν	candidate	not_detected
