book	end_reference	end_stream_index	first_finite_verb	first_predication_id	group_index	last_finite_verb	last_predication_id	movement_class_counts	movement_status_counts	record_count	start_reference	start_stream_index	structural_regime_id	total_structural_weight	merged_regimes	merged_regime_id
1corintios	9:16	448	ἐχρησάμεθα	1corintios-9-12-P02	199	εὐαγγελίζωμαι	1corintios-9-16-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	12	9:12	437	SR0199	44	['SR0200', 'SR0201', 'SR0202', 'SR0203', 'SR0204', 'SR0205']	SMR0051
1corintios	9:16	451	ἔστιν	1corintios-9-16-P02	206	ἐστιν	1corintios-9-16-P04	"{""stable"": 2, ""structural"": 1}"	"{""none"": 2, ""strong"": 1}"	3	9:16	449	SR0206	6		SMR0052
1corintios	9:18	456	εὐαγγελίσωμαι	1corintios-9-16-P05	207	ἐστιν	1corintios-9-18-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 1, ""strong"": 1}"	5	9:16	452	SR0207	16	['SR0208']	SMR0053
1corintios	9:25	476	θήσω	1corintios-9-18-P02	209	λάβωσιν	1corintios-9-25-P02	"{""stable"": 2, ""structural"": 1, ""turbulence"": 10}"	"{""candidate"": 10, ""none"": 2, ""strong"": 1}"	20	9:18	457	SR0209	68	['SR0210', 'SR0211', 'SR0212', 'SR0213', 'SR0214', 'SR0215']	SMR0054
1corintios	10:1	482	τρέχω	1corintios-9-26-P01	216	θέλω	1corintios-10-1-P01	"{""stable"": 2, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 2, ""strong"": 1}"	6	9:26	477	SR0216	12	['SR0217']	SMR0055
1corintios	10:5	490	ἦσαν	1corintios-10-1-P02	218	ηὐδόκησεν	1corintios-10-5-P01	"{""stable"": 4, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 4, ""strong"": 1}"	8	10:1	483	SR0218	14	['SR0219']	SMR0056
1corintios	10:10	506	κατεστρώθησαν	1corintios-10-5-P02	220	ἀπώλοντο	1corintios-10-10-P03	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	16	10:5	491	SR0220	58	['SR0221', 'SR0222', 'SR0223', 'SR0224', 'SR0225', 'SR0226', 'SR0227', 'SR0228', 'SR0229']	SMR0057
1corintios	10:22	537	συνέβαινεν	1corintios-10-11-P01	230	ἐσμεν	1corintios-10-22-P02	"{""stable"": 3, ""structural"": 1, ""turbulence"": 3}"	"{""candidate"": 4, ""none"": 3}"	31	10:11	507	SR0230	126	['SR0231', 'SR0232', 'SR0233', 'SR0234', 'SR0235', 'SR0236', 'SR0237', 'SR0238', 'SR0239', 'SR0240', 'SR0241', 'SR0242', 'SR0243', 'SR0244', 'SR0245', 'SR0246', 'SR0247', 'SR0248', 'SR0249']	SMR0058
1corintios	10:29	551	ἔξεστιν	1corintios-10-23-P01	250	κρίνεται	1corintios-10-29-P02	"{""stable"": 4, ""structural"": 1}"	"{""none"": 4, ""strong"": 1}"	14	10:23	538	SR0250	54	['SR0251', 'SR0252', 'SR0253', 'SR0254', 'SR0255', 'SR0256', 'SR0257']	SMR0059
1corintios	10:30	554	μετέχω	1corintios-10-30-P01	258	εὐχαριστῶ	1corintios-10-30-P03	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	3	10:30	552	SR0258	8		SMR0060
