movement_window_id	book	window_index	start_ref	end_ref	start_stream_index	end_stream_index	predication_count	movement_band	dominant_field	dominant_tendency	state_counts	label_counts	persistence_total	transition_total	extension_total	weakening_total
MW00027	1corintios	27	7:18	7:21	313	324	12	extended_stable_field	stable	EXPONE	"{""stable"": 8, ""transitioning"": 2, ""unstable"": 2}"	"{""ACLARA"": 4, ""CONDICIÓN"": 1, ""EXPONE"": 8}"	28	20	19	12
MW00028	1corintios	28	7:22	7:27	325	336	12	movement_accumulation	stable	EXPONE	"{""stable"": 7, ""transitioning"": 5}"	"{""ACLARA"": 5, ""EXPONE"": 7}"	31	20	19	10
MW00029	1corintios	29	7:27	7:32	337	348	12	mixed_continuity	stable	ACLARA	"{""recovering"": 3, ""stable"": 5, ""transitioning"": 1, ""unstable"": 3}"	"{""ACLARA"": 7, ""CONDICIÓN"": 2, ""EXPONE"": 5, ""PROPÓSITO"": 1}"	17	28	13	17
MW00030	1corintios	30	7:32	7:36	349	360	12	extended_stable_field	stable	EXPONE	"{""stable"": 9, ""transitioning"": 3}"	"{""ACLARA"": 3, ""EXPONE"": 9, ""PROPÓSITO"": 2}"	33	12	21	6
MW00031	1corintios	31	7:36	7:38	361	372	12	extended_stable_field	stable	EXPONE	"{""recovering"": 2, ""stable"": 10}"	"{""ACLARA"": 2, ""CONDICIÓN"": 2, ""EXPONE"": 10, ""RESULTADO"": 1}"	30	5	22	2
MW00032	1corintios	32	7:39	8:1	373	384	12	extended_stable_field	stable	EXPONE	"{""recovering"": 1, ""stable"": 9, ""transitioning"": 1, ""unstable"": 1}"	"{""ACLARA"": 3, ""CONDICIÓN"": 2, ""EXPONE"": 9, ""RAZÓN"": 1}"	29	12	21	7
MW00033	1corintios	33	8:2	8:8	385	396	12	extended_stable_field	stable	EXPONE	"{""recovering"": 1, ""stable"": 8, ""transitioning"": 3}"	"{""ACLARA"": 5, ""CONDICIÓN"": 2, ""EXPONE"": 8}"	30	14	21	7
MW00034	1corintios	34	8:8	8:13	397	408	12	movement_accumulation	stable	EXPONE	"{""stable"": 7, ""transitioning"": 4, ""unstable"": 1}"	"{""ACLARA"": 5, ""CONDICIÓN"": 4, ""EXPONE"": 7}"	29	22	22	12
MW00035	1corintios	35	8:13	9:6	409	420	12	mixed_continuity	stable	EXPONE	"{""stable"": 7, ""transitioning"": 2, ""unstable"": 3}"	"{""ACLARA"": 5, ""CONDICIÓN"": 1, ""EXPONE"": 7, ""PROPÓSITO"": 1}"	25	26	17	16
MW00036	1corintios	36	9:7	9:10	421	432	12	mixed_continuity	stable	EXPONE	"{""stable"": 7, ""transitioning"": 3, ""unstable"": 2}"	"{""ACLARA"": 5, ""EXPONE"": 7}"	27	24	17	14
MW00037	1corintios	37	9:10	9:15	433	444	12	mixed_continuity	stable	ACLARA	"{""recovering"": 1, ""stable"": 5, ""transitioning"": 3, ""unstable"": 3}"	"{""ACLARA"": 8, ""CONDICIÓN"": 3, ""EXPONE"": 5, ""PROPÓSITO"": 1, ""RAZÓN"": 2}"	21	32	16	19
MW00038	1corintios	38	9:15	9:18	445	456	12	movement_accumulation	stable	EXPONE	"{""stable"": 7, ""transitioning"": 4, ""unstable"": 1}"	"{""ACLARA"": 5, ""CONDICIÓN"": 4, ""EXPONE"": 7, ""PROPÓSITO"": 1}"	29	22	22	12
MW00039	1corintios	39	9:18	9:23	457	468	12	extended_stable_field	stable	EXPONE	"{""stable"": 11, ""transitioning"": 1}"	"{""ACLARA"": 4, ""EXPONE"": 11, ""PROPÓSITO"": 7}"	35	4	23	2
