BOOK	CH	VS	CLAUSE_ID	FINITE_GREEK	NODE_TYPE	PARENT_CLAUSE	RELATIONSHIP_TYPE	TREE_DEPTH	OWNERSHIP_CONFIDENCE	TREE_STATUS	SPAN_TEXT	NOTES
1corintios	2	15	C1	ἀνακρίνει	root-parent			0		unresolved-root	ὁ δὲ πνευματικὸς ==ἀνακρίνει== τὰ πάντα αὐτὸς δὲ ὑπʼ οὐδενὸς	no-confirmed-topology
1corintios	2	15	C2	ἀνακρίνεται	leaf	C1	coordinate	1	medium	suggested	==ἀνακρίνεται==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	2	16	C1	ἔγνω	root-or-unresolved			0		unresolved-root	τίς γὰρ ==ἔγνω== νοῦν κυρίου ὃς	no-confirmed-topology
1corintios	2	16	C2	συμβιβάσει	root-parent			0		unresolved-root	==συμβιβάσει== αὐτόν ἡμεῖς δὲ νοῦν χριστοῦ	no-confirmed-topology
1corintios	2	16	C3	ἔχομεν	leaf	C2	coordinate	1	medium	suggested	==ἔχομεν==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	1	C1	ἠδυνήθην	root-or-unresolved			0		unresolved-root	κἀγώ ἀδελφοί οὐκ ==ἠδυνήθην== λαλῆσαι ὑμῖν ὡς πνευματικοῖς ἀλλʼ ὡς σαρκίνοις ὡς νηπίοις ἐν χριστῷ	no-confirmed-topology
1corintios	3	2	C1	ἐπότισα	root-parent			0		unresolved-root	γάλα ὑμᾶς ==ἐπότισα== οὐ βρῶμα οὔπω γὰρ	no-confirmed-topology
1corintios	3	2	C2	ἐδύνασθε	internal-node	C1	subordinate	1	medium	suggested	==ἐδύνασθε== ἀλλʼ οὐδὲ ἔτι νῦν	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	2	C3	δύνασθε	leaf	C2	coordinate	2	medium	suggested	==δύνασθε==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	3	C1	ἐστε	root-parent			0		unresolved-root	ἔτι γὰρ σαρκικοί ==ἐστε== ὅπου γὰρ ἐν ὑμῖν ζῆλος καὶ ἔρις οὐχὶ σαρκικοί	no-confirmed-topology
1corintios	3	3	C2	ἐστε	leaf	C1	subordinate	1	medium	suggested	==ἐστε== καὶ κατὰ ἄνθρωπον	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available; parallel-coordinate-structure-detected
1corintios	3	3	C3	περιπατεῖτε	root-or-unresolved			0		unresolved-root	==περιπατεῖτε==	no-confirmed-topology; parallel-coordinate-structure-detected
1corintios	3	4	C1	λέγῃ	root-or-unresolved			0		unresolved-root	ὅταν γὰρ ==λέγῃ== τις ἐγὼ μέν	no-confirmed-topology
1corintios	3	4	C2	εἰμι	root-parent			0		unresolved-root	==εἰμι== παύλου ἕτερος δέ ἐγὼ ἀπολλῶ οὐκ ἄνθρωποί	no-confirmed-topology
1corintios	3	4	C3	ἐστε	leaf	C2	coordinate	1	medium	suggested	==ἐστε==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	5	C1	ἐστιν	root-parent			0		unresolved-root	τί οὖν ==ἐστιν== ἀπολλῶς τί δέ	no-confirmed-topology
1corintios	3	5	C2	ἐστιν	leaf	C1	coordinate	1	medium	suggested	==ἐστιν== παῦλος διάκονοι διʼ ὧν	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	3	5	C3	ἐπιστεύσατε	root-parent			0		unresolved-root	==ἐπιστεύσατε== καὶ ἑκάστῳ	no-confirmed-topology
