stream_index	book	chapter	verse	predication_id	finite_verb	finite_compact	subject_person	subject_number	subject_status	subject_source	subject_refinement_status	subject_refinement_source	subject_inherited_from	independence_status	subordination_status
132	1corintios	3	18	1corintios-3-18-P04	γένηται	V-AMS-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
133	1corintios	3	19	1corintios-3-19-P01	ἐστιν	V-PAI-3S	2	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-18-P03	candidate	not_detected
134	1corintios	3	19	1corintios-3-19-P02	γέγραπται	V-XPI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
135	1corintios	3	20	1corintios-3-20-P01	γινώσκει	V-PAI-3S	3	S	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-19-P02	candidate	not_detected
136	1corintios	3	20	1corintios-3-20-P02	εἰσὶν	V-PAI-3P	3	P	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
137	1corintios	3	21	1corintios-3-21-P01	καυχάσθω	V-PMD-3S	3	P	candidate	nearest_agreeing_nominative_no_visible_boundary	inherited	inheritance_allowed	1corintios-3-20-P02	unresolved	candidate
138	1corintios	3	21	1corintios-3-21-P02	ἐστιν	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
139	1corintios	4	1	1corintios-4-1-P01	λογιζέσθω	V-PMD-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
140	1corintios	4	2	1corintios-4-2-P01	ζητεῖται	V-PPI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
141	1corintios	4	2	1corintios-4-2-P02	εὑρεθῇ	V-APS-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate
142	1corintios	4	3	1corintios-4-3-P01	ἐστιν	V-PAI-3S	3	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		candidate	not_detected
143	1corintios	4	3	1corintios-4-3-P02	ἀνακριθῶ	V-APS-1S	1	S	confirmed	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology		unresolved	candidate
