decision	reason	greek_span	nbla_span	count	first_seen	last_seen	alignment_types
skip	count too low	πάντες	todos	4	1cor 1:10	1corintios 9:24	direct
skip	count too low	πάντες	son todos	4	1corintios 12:29	1corintios 12:29	expanded
skip	count too low	παῦλος	pablo	4	1cor 1:1	1cor 3:5	direct
skip	count too low	πνεύματι	espíritu	4	1cor 5:3	1corintios 14:15	direct
skip	count too low	τίς	quién	4	1cor 2:11	1corintios 14:8	direct
skip	count too low	τοὺς	a los que	4	1cor 1:21	1cor 6:4	expanded
skip	count too low	τὰ	las cosas	4	1cor 2:14	1corintios 13:11	expanded
skip	count too low	τῷ	a	4	1cor 1:4	1corintios 7:34	direct,expanded
skip	count too low	χριστοῦ	cristo	4	1cor 1:17	1corintios 11:3	direct
skip	count too low	ἀδελφὸς	hermano	4	1cor 5:11	1cor 7:15	direct
skip	count too low	ἀλλὰ	sino que	4	1cor 1:27	1corintios 9:27	expanded
skip	count too low	ἀλλὰ	pero	4	1cor 3:6	1cor 6:11	direct
skip	count too low	ἀνὴρ	el hombre	4	1corintios 11:14	1corintios 11:9	expanded
skip	count too low	ἀνὴρ	marido	4	1cor 7:14	1corintios 7:39	direct
skip	count too low	ἄνδρα	marido	4	1cor 7:13	1cor 7:2	direct
skip	count too low	ἐστε	son	4	1cor 3:17	1cor 3:4	direct
skip	count too low	ἔργον	obra	4	1cor 3:13	1cor 3:15	direct
skip	count too low	ἤδη	ya	4	1cor 4:8	1cor 6:7	direct
skip	count too low	ἵνα	para	4	1cor 1:27	1cor 7:5	direct
skip	count too low	ὁ	pero	4	1corintios 12:6	1corintios 7:33	direct
skip	count too low	ὑμᾶς	los	4	1cor 1:8	1cor 7:5	direct
skip	count too low	ὑπὸ	por	4	1cor 1:11	1corintios 14:24	direct
skip	count too low	γάρ	pues	3	1cor 3:19	1cor 5:3	direct
skip	count too low	γυναῖκα	mujer	3	1cor 7:16	1corintios 7:27	direct
skip	count too low	δέ	y	3	1cor 3:4	1corintios 7:36	direct
skip	count too low	διὰ	por	3	1cor 1:1	1cor 4:17	direct
skip	count too low	δὲ	el que	3	1corintios 14:3	1corintios 7:37	expanded
skip	count too low	θεῷ	dios	3	1cor 1:4	1corintios 14:18	direct
skip	count too low	καθὼς	tal como	3	1cor 1:31	1corintios 11:2	expanded
skip	count too low	κατὰ	conforme a	3	1cor 1:26	1cor 3:8	expanded
skip	count too low	καὶ	y en	3	1corintios 11:18	1corintios 13:9	expanded
skip	count too low	καὶ	los que	3	1corintios 7:30	1corintios 7:31	expanded
skip	count too low	λέγω	digo	3	1cor 7:12	1cor 7:8	direct
skip	count too low	λαλοῦμεν	hablamos	3	1cor 2:13	1cor 2:7	direct
skip	count too low	λαλῶν	que habla	3	1corintios 14:13	1corintios 14:4	expanded
skip	count too low	μοι	me	3	1cor 3:10	1cor 6:12	direct
skip	count too low	μου	mi	3	1cor 1:4	1corintios 14:14	direct
skip	count too low	μωρία	necedad	3	1cor 1:18	1cor 3:19	direct
skip	count too low	οὐδεὶς	nadie	3	1cor 2:11	1corintios 14:2	direct
skip	count too low	οὐχ	no	3	1cor 7:12	1corintios 7:36	direct
skip	count too low	πάντα	todas	3	1cor 2:15	1corintios 12:6	direct
skip	count too low	παύλου	de pablo	3	1cor 1:12	1cor 3:4	expanded
skip	count too low	περὶ	en cuanto a	3	1cor 7:1	1corintios 8:1	expanded
skip	count too low	πνεύματος	espíritu	3	1cor 2:10	1corintios 12:7	direct
skip	count too low	πολλοὶ	muchos	3	1cor 1:26	1cor 1:26	direct
skip	count too low	ποῦ	dónde está	3	1cor 1:20	1cor 1:20	expanded
skip	count too low	προφητεύων	profetiza	3	1corintios 11:4	1corintios 14:4	direct
skip	count too low	πῶς	cómo	3	1cor 3:10	1corintios 7:34	direct
skip	count too low	σώματι	cuerpo	3	1cor 5:3	1cor 6:20	direct
skip	count too low	τι	algo	3	1cor 3:7	1corintios 14:35	direct
skip	count too low	τις	alguno	3	1cor 3:17	1corintios 7:18	direct
skip	count too low	τοῖς	para los	3	1cor 1:18	1cor 6:13	expanded
skip	count too low	τοῖς	a los	3	1cor 5:10	1cor 7:8	expanded
